model,dataset,n,rmse,pearson_r,pearson_p,spearman_r,spearman_p,invalid,pct_invalid
Qwen2.5-3B,combined_llm,126.0,1.8959300621804942,0.3346988514809828,0.00012781610730252166,0.32479640955916517,0.00020675397628048197,0,0.0
Qwen2.5-3B,eval_novel,288.0,1.988603180163426,0.4261913005041796,3.875667689218981e-14,0.4122727505930898,3.0312068138742756e-13,0,0.0
Qwen2.5-3B,eval_human,150.0,2.0194400789437132,0.38216614371421986,1.3939301061204733e-06,0.3899124546579056,8.134223046309055e-07,0,0.0
Qwen2.5-3B,all,564.0,1.9766107566129976,0.4021417891110929,2.4616275685380593e-23,0.39195661361796197,3.7491458897447713e-22,0,0.0
Qwen2.5-3B-Instruct,combined_llm,126.0,1.8656689678618006,0.4312476870728358,4.62600723257543e-07,0.42993102455054166,5.057276213231867e-07,0,0.0
Qwen2.5-3B-Instruct,eval_novel,288.0,1.9824951673064573,0.44508257845588906,2.0339422431018437e-15,0.4281875307792107,2.863013672030964e-14,0,0.0
Qwen2.5-3B-Instruct,eval_human,150.0,1.8698885554990978,0.4824321920574639,4.06703791620974e-10,0.48618136075093826,2.841959132774116e-10,0,0.0
Qwen2.5-3B-Instruct,all,564.0,1.9272982830206857,0.45552011261904135,3.0513572685649326e-30,0.4483144231649857,3.090987156002876e-29,0,0.0
Qwen2.5-7B,combined_llm,126.0,2.2706483672120346,0.4929676726908997,4.51563820976141e-09,0.4459422862478728,1.66690527636449e-07,0,0.0
Qwen2.5-7B,eval_novel,288.0,2.4054641169339073,0.5274289053764467,5.042096886681745e-22,0.49890813224855374,1.5664915970159556e-19,0,0.0
Qwen2.5-7B,eval_human,150.0,2.214168203972365,0.5070371308040764,3.568266437866712e-11,0.4885138870295578,2.2689273938269631e-10,0,0.0
Qwen2.5-7B,all,564.0,2.3260243927256607,0.5153079874556603,1.410494204853225e-39,0.4854154915463818,1.1140647355534175e-34,0,0.0
Qwen2.5-7B-Instruct,combined_llm,126.0,1.39953455753308,0.5297089065088904,1.7962493634565166e-10,0.5025886474193549,2.013409910332168e-09,0,0.0
Qwen2.5-7B-Instruct,eval_novel,288.0,1.6793547428967797,0.5249506238869884,8.483970523313692e-22,0.5263552423416923,6.320382196236652e-22,0,0.0
Qwen2.5-7B-Instruct,eval_human,150.0,1.442662900438099,0.5437276450428957,6.469417582196153e-13,0.56064212672205,8.595956509021107e-14,0,0.0
Qwen2.5-7B-Instruct,all,564.0,1.559240457345434,0.5318208202419694,1.692077978048241e-42,0.5304578437146945,2.9898417228625296e-42,0,0.0
gpt-oss-20b,combined_llm,126.0,1.2064535247490542,-0.024974983338929013,0.7813249332223874,-0.0052097960503088726,0.9538303681512461,0,0.0
gpt-oss-20b,eval_novel,288.0,1.303923466673209,0.17500446324667782,0.0028821156238351235,0.22922904349901543,8.650472763620386e-05,0,0.0
gpt-oss-20b,eval_human,150.0,1.3442247049358327,0.10210330155924398,0.2137587920428379,0.13949026420054425,0.08867258664730863,0,0.0
gpt-oss-20b,all,564.0,1.293806939222449,0.12774668230240188,0.002369342205820493,0.1621908268900195,0.00010931903577757906,0,0.0
claude-opus-4-6,combined_llm,,,,,,,126,1.0
claude-opus-4-6,eval_novel,,,,,,,288,1.0
claude-opus-4-6,eval_human,,,,,,,150,1.0
claude-opus-4-6,all,,,,,,,564,1.0
gemini-3-flash-preview,combined_llm,,,,,,,126,1.0
gemini-3-flash-preview,eval_novel,,,,,,,288,1.0
gemini-3-flash-preview,eval_human,,,,,,,150,1.0
gemini-3-flash-preview,all,,,,,,,564,1.0
gpt-4o,combined_llm,126.0,0.9125767673649368,0.6221431317943518,7.498711632339662e-15,0.5932296086691208,2.4883649212370907e-13,0,0.0
gpt-4o,eval_novel,288.0,1.163344770910305,0.6658594149812651,2.9126287919915465e-38,0.631744556222161,1.7345504991982292e-33,0,0.0
gpt-4o,eval_human,150.0,0.8907244447540285,0.6947340765775301,6.178999995990127e-23,0.672260721242298,4.557195995083987e-21,0,0.0
gpt-4o,all,564.0,1.0431401299313854,0.6589568911668644,1.5852388228194934e-71,0.62620879258489,9.512343193496353e-63,0,0.0
gpt-4o-mini,combined_llm,126.0,0.7628838126432528,0.5957362113549011,1.8623045511563732e-13,0.5779377582535931,1.3828132238136906e-12,0,0.0
gpt-4o-mini,eval_novel,288.0,0.9124334170052062,0.6608930975586917,1.5787783848052473e-37,0.6142565010738251,2.9063588700209506e-31,0,0.0
gpt-4o-mini,eval_human,150.0,0.820501152999431,0.6953425907827973,5.469635472547285e-23,0.6502410129269502,2.170385449292972e-19,0,0.0
gpt-4o-mini,all,564.0,0.8568500392502982,0.6603626394346497,6.287517479204692e-72,0.6161526868766178,2.9378670579746966e-60,0,0.0
gpt-5.2,combined_llm,,,,,,,126,1.0
gpt-5.2,eval_novel,,,,,,,288,1.0
gpt-5.2,eval_human,,,,,,,150,1.0
gpt-5.2,all,,,,,,,564,1.0
grok-4-1-fast-non-reasoning,combined_llm,,,,,,,126,1.0
grok-4-1-fast-non-reasoning,eval_novel,,,,,,,288,1.0
grok-4-1-fast-non-reasoning,eval_human,,,,,,,150,1.0
grok-4-1-fast-non-reasoning,all,,,,,,,564,1.0
